time,seconds_elapsed,z,y,x
1681265150645040400,0.017040283203125,-1.0606842041015625,-0.2552337646484375,0.26422119140625
1681265150654974200,0.02697412109375,-1.0601043701171875,-0.2802276611328125,0.229888916015625
1681265150664907300,0.0369072265625,-0.936859130859375,-0.2436370849609375,0.216033935546875
1681265150674840300,0.04684033203125,-0.906280517578125,-0.20404052734375,0.1787109375
1681265150684774100,0.056774169921875,-0.898162841796875,-0.1742706298828125,0.194793701171875
1681265150694707200,0.066707275390625,-0.9141998291015625,-0.148468017578125,0.224822998046875
1681265150704640300,0.07664013671875,-0.938507080078125,-0.1382904052734375,0.2620849609375
1681265150714574000,0.086573974609375,-0.978851318359375,-0.1486663818359375,0.3079986572265625
1681265150724507400,0.09650732421875,-1.058441162109375,-0.1643829345703125,0.301361083984375
1681265150734440400,0.1064404296875,-1.0163726806640625,-0.152679443359375,0.27349853515625
1681265150744374300,0.116374267578125,-0.9131011962890625,-0.1307220458984375,0.2753448486328125
1681265150754307300,0.126307373046875,-0.8979644775390625,-0.1237640380859375,0.2430572509765625
1681265150764240400,0.136240478515625,-0.88336181640625,-0.15350341796875,0.173065185546875
1681265150774174200,0.14617431640625,-0.831298828125,-0.1768646240234375,0.155120849609375
1681265150784107300,0.156107177734375,-0.843048095703125,-0.1670379638671875,0.1528778076171875
1681265150794041000,0.166041015625,-0.9227142333984375,-0.1596221923828125,0.1324920654296875
1681265150803974100,0.17597412109375,-0.9780426025390625,-0.1790771484375,0.082427978515625
1681265150813907200,0.1859072265625,-0.9276885986328125,-0.0625152587890625,0.0605926513671875
1681265150823840300,0.19584033203125,-0.7878570556640625,-0.01617431640625,0.0988922119140625
1681265150833774300,0.2057744140625,-0.785247802734375,-0.175506591796875,0.1560211181640625
1681265150843707400,0.215707275390625,-0.829803466796875,-0.381805419921875,0.08905029296875
1681265150853641200,0.22564111328125,-0.916290283203125,-0.489776611328125,0.0525054931640625
1681265150863574300,0.23557421875,-0.898956298828125,-0.4784393310546875,0.0724029541015625
1681265150873507300,0.24550732421875,-1.107940673828125,-0.494354248046875,0.164581298828125
1681265150883441200,0.255441162109375,-1.282440185546875,-0.3312225341796875,0.2753143310546875
1681265150893374200,0.265374267578125,-1.2875518798828125,-0.2362823486328125,0.264495849609375
1681265150903307300,0.275307373046875,-1.3848876953125,-0.438446044921875,0.3594970703125
1681265150913241000,0.285240966796875,-1.2981719970703125,-0.460784912109375,0.3266143798828125
1681265150923174100,0.295174072265625,-1.2607879638671875,-0.4409637451171875,0.2152099609375
1681265150933107200,0.305107177734375,-1.00372314453125,-0.371063232421875,0.09149169921875
1681265150943041300,0.315041259765625,-0.8665771484375,-0.2795562744140625,0.005706787109375
1681265150952974300,0.324974365234375,-0.756011962890625,-0.217681884765625,-0.0369415283203125
1681265150962907400,0.334907470703125,-0.6255950927734375,-0.2319793701171875,-0.0650787353515625
1681265150972841200,0.34484130859375,-0.627838134765625,-0.3281097412109375,-0.0830535888671875
